Date,Close
2023-07-18,20.53
2023-07-19,20.81
2023-07-20,20.9
2023-07-21,21.17
2023-07-24,21.53
2023-07-25,21.74
2023-07-26,22.29
2023-07-27,21.88
2023-07-28,22.18
2023-07-31,21.98
2023-08-01,21.73
2023-08-02,21.81
2023-08-03,21.51
2023-08-04,21.53
2023-08-07,21.8
2023-08-08,23.77
2023-08-09,23.16
2023-08-10,23.61
2023-08-11,23.15
2023-08-14,23.06
2023-08-15,23.26
2023-08-16,22.86
2023-08-17,22.44
2023-08-18,22.49
2023-08-21,22.4
2023-08-22,22.16
2023-08-23,21.92
2023-08-24,21.61
2023-08-25,21.86
2023-08-28,22.07
2023-08-29,22.35
2023-08-30,22.32
2023-08-31,21.96
2023-09-01,22.14
2023-09-05,21.0
2023-09-06,19.83
2023-09-07,19.47
2023-09-08,19.29
2023-09-11,19.67
2023-09-12,19.44
2023-09-13,19.27
2023-09-14,19.79
2023-09-15,19.54
2023-09-18,19.46
2023-09-19,19.01
2023-09-20,18.92
2023-09-21,18.58
2023-09-22,18.26
2023-09-25,17.88
2023-09-26,17.25
2023-09-27,16.59
2023-09-28,17.08
2023-09-29,17.36
2023-10-02,16.69
2023-10-03,16.29
2023-10-04,16.32
2023-10-05,16.22
2023-10-06,16.58
2023-10-09,16.96
2023-10-10,17.29
2023-10-11,17.22
2023-10-12,16.64
2023-10-13,17.32
2023-10-16,16.86
2023-10-17,16.44
2023-10-18,16.29
2023-10-19,16.14
2023-10-20,15.9
2023-10-23,15.48
2023-10-24,15.76
2023-10-25,15.65
2023-10-26,15.31
2023-10-27,14.96
2023-10-30,14.93
2023-10-31,14.79
2023-11-01,14.65
2023-11-02,13.11
2023-11-03,13.3
2023-11-06,12.56
2023-11-07,12.41
2023-11-08,12.27
2023-11-09,11.42
2023-11-10,11.12
2023-11-13,11.03
2023-11-14,11.46
2023-11-15,11.56
2023-11-16,10.95
2023-11-17,11.31
2023-11-20,11.19
2023-11-21,11.03
2023-11-22,11.24
2023-11-24,11.36
2023-11-27,11.43
2023-11-28,11.3
2023-11-29,11.41
2023-11-30,11.32
2023-12-01,11.5
2023-12-04,11.83
2023-12-05,11.09
2023-12-06,10.99
2023-12-07,11.33
2023-12-08,11.02
2023-12-11,11.23
2023-12-12,11.54
2023-12-13,12.42
2023-12-14,12.82
2023-12-15,13.08
2023-12-18,13.12
2023-12-19,13.52
2023-12-20,13.14
2023-12-21,13.6
2023-12-22,13.91
2023-12-26,14.13
2023-12-27,14.36
2023-12-28,14.48
2023-12-29,14.42
2024-01-02,14.71
2024-01-03,14.63
2024-01-04,13.78
2024-01-05,14.41
2024-01-08,16.3
2024-01-09,16.2
2024-01-10,17.2
2024-01-11,16.83
2024-01-12,16.75
2024-01-16,16.59
2024-01-17,15.9
2024-01-18,15.69
2024-01-19,15.5
2024-01-22,15.69
2024-01-23,16.27
2024-01-24,16.42
2024-01-25,16.84
2024-01-26,16.73
2024-01-29,17.16
2024-01-30,16.78
2024-01-31,16.65
2024-02-01,17.24
2024-02-02,16.64
2024-02-05,16.04
2024-02-06,16.95
2024-02-07,16.25
2024-02-08,16.31
2024-02-09,16.38
2024-02-12,16.83
2024-02-13,16.12
2024-02-14,16.36
2024-02-15,18.62
2024-02-16,18.71
2024-02-20,18.49
2024-02-21,18.53
